Category;Account Name;Year;Month_Date;Month_Label;Rate;Budget_COP;Budget_GBP;;;
Management Fees;Management fees control A/c;2025;1/07/2025;Jul-25;5511.924758;-2025881381;-367545.1806;;;
Management Fees;Trailer fees control a/c;2025;1/07/2025;Jul-25;5511.924758;0;0;;;
Management Fees;Management fees control A/c;2025;1/08/2025;Aug-25;5429.910456;-2029797445;-373817.8485;;;
Management Fees;Management fees control A/c;2025;1/09/2025;Sep-25;5271.941977;-2068920044;-392439.8359;;;
Management Fees;Management fees control A/c;2025;1/10/2025;Oct-25;5072.249224;-2072914821;-408677.6358;;;
Management Fees;Management fees control A/c;2025;1/11/2025;Nov-25;4956.255189;-2076949545;-419056.2161;;;
Management Fees;Management fees control A/c;2025;1/12/2025;Dec-25;5081.087795;-2081024617;-409562.8143;;;
Management Fees;Management fees control A/c;2026;1/01/2026;Jan-26;5035.526334;-1922339558;-381755.4374;;;
Management Fees;Management fees control A/c;2026;1/02/2026;Feb-26;5048.813055;-1926496539;-381574.1478;;;
Management Fees;Management fees control A/c;2026;1/03/2026;Mar-26;4824.463939;-1930695089;-400188.5212;;;
Management Fees;Management fees control A/c;2026;1/04/2026;Apr-26;4932.639076;-1934935625;-392271.8843;;;
Management Fees;Management fees control A/c;2026;1/05/2026;May-26;4932.639076;-1939218566;-393140.1703;;;
Management Fees;Management fees control A/c;2026;1/06/2026;Jun-26;4932.639076;-1943544337;-394017.1392;;;
Management Fees;Trailer fees control a/c;2025;1/08/2025;Aug-25;5429.910456;0;0;;;
Management Fees;Trailer fees control a/c;2025;1/09/2025;Sep-25;5271.941977;0;0;;;
Management Fees;Trailer fees control a/c;2025;1/10/2025;Oct-25;5072.249224;0;0;;;
Management Fees;Trailer fees control a/c;2025;1/11/2025;Nov-25;4956.255189;0;0;;;
Management Fees;Trailer fees control a/c;2025;1/12/2025;Dec-25;5081.087795;0;0;;;
Management Fees;Trailer fees control a/c;2026;1/01/2026;Jan-26;5035.526334;0;0;;;
Management Fees;Trailer fees control a/c;2026;1/02/2026;Feb-26;5048.813055;0;0;;;
Management Fees;Trailer fees control a/c;2026;1/03/2026;Mar-26;4824.463939;0;0;;;
Management Fees;Trailer fees control a/c;2026;1/04/2026;Apr-26;4932.639076;0;0;;;
Management Fees;Trailer fees control a/c;2026;1/05/2026;May-26;4932.639076;0;0;;;
Management Fees;Trailer fees control a/c;2026;1/06/2026;Jun-26;4932.639076;0;0;;;
Management Fees;Distribution Costs Control Account;2025;1/07/2025;Jul-25;5511.924758;14258604.1;2586.864793;;;
Management Fees;Distribution Costs Control Account;2025;1/08/2025;Aug-25;5429.910456;14258604.1;2625.937244;;;
Management Fees;Distribution Costs Control Account;2025;1/09/2025;Sep-25;5271.941977;14258604.1;2704.620833;;;
Management Fees;Distribution Costs Control Account;2025;1/10/2025;Oct-25;5072.249224;14258604.1;2811.100849;;;
Management Fees;Distribution Costs Control Account;2025;1/11/2025;Nov-25;4956.255189;14258604.1;2876.890628;;;
Management Fees;Distribution Costs Control Account;2025;1/12/2025;Dec-25;5081.087795;14258604.1;2806.210929;;;
Management Fees;Distribution Costs Control Account;2026;1/01/2026;Jan-26;5035.526334;14258604.1;2831.601536;;;
Management Fees;Distribution Costs Control Account;2026;1/02/2026;Feb-26;5048.813055;14258604.1;2824.149745;;;
Management Fees;Distribution Costs Control Account;2026;1/03/2026;Mar-26;4824.463939;14258604.1;2955.479465;;;
Management Fees;Distribution Costs Control Account;2026;1/04/2026;Apr-26;4932.639076;14258604.1;2890.664385;;;
Management Fees;Distribution Costs Control Account;2026;1/05/2026;May-26;4932.639076;14258604.1;2890.664385;;;
Management Fees;Distribution Costs Control Account;2026;1/06/2026;Jun-26;4932.639076;14258604.1;2890.664385;;;
Management Fees;I/CO distribution fees receive;2025;1/07/2025;Jul-25;5511.924758;-49046195.15;-8898.197508;;;
Management Fees;I/CO distribution fees receive;2025;1/08/2025;Aug-25;5429.910456;-49536657.1;-9122.923388;;;
Management Fees;I/CO distribution fees receive;2025;1/09/2025;Sep-25;5271.941977;-50032023.67;-9490.245509;;;
Management Fees;I/CO distribution fees receive;2025;1/10/2025;Oct-25;5072.249224;-50532343.91;-9962.512028;;;
Management Fees;I/CO distribution fees receive;2025;1/11/2025;Nov-25;4956.255189;-51037667.35;-10297.62702;;;
Management Fees;I/CO distribution fees receive;2025;1/12/2025;Dec-25;5081.087795;-51548044.02;-10145.08036;;;
Management Fees;I/CO distribution fees receive;2026;1/01/2026;Jan-26;5035.526334;-52063524.46;-10339.24182;;;
Management Fees;I/CO distribution fees receive;2026;1/02/2026;Feb-26;5048.813055;-52584159.7;-10415.15286;;;
Management Fees;I/CO distribution fees receive;2026;1/03/2026;Mar-26;4824.463939;-53110001.3;-11008.47721;;;
Management Fees;I/CO distribution fees receive;2026;1/04/2026;Apr-26;4932.639076;-53641101.31;-10874.72659;;;
Management Fees;I/CO distribution fees receive;2026;1/05/2026;May-26;4932.639076;-54177512.33;-10983.47385;;;
Management Fees;I/CO distribution fees receive;2026;1/06/2026;Jun-26;4932.639076;-54719287.45;-11093.30859;;;
Management Fees;I/CO adv fees receive;2025;1/07/2025;Jul-25;5511.924758;-100224833.6;-18183.27317;;;
Management Fees;I/CO adv fees receive;2025;1/08/2025;Aug-25;5429.910456;-101227081.9;-18642.49562;;;
Management Fees;I/CO adv fees receive;2025;1/09/2025;Sep-25;5271.941977;-102239352.7;-19393.11039;;;
Management Fees;I/CO adv fees receive;2025;1/10/2025;Oct-25;5072.249224;-103261746.2;-20358.17675;;;
Management Fees;I/CO adv fees receive;2025;1/11/2025;Nov-25;4956.255189;-104294363.7;-21042.97695;;;
Management Fees;I/CO adv fees receive;2025;1/12/2025;Dec-25;5081.087795;-105337307.3;-20731.25118;;;
Management Fees;I/CO adv fees receive;2026;1/01/2026;Jan-26;5035.526334;-106390680.4;-21128.0159;;;
Management Fees;I/CO adv fees receive;2026;1/02/2026;Feb-26;5048.813055;-107454587.2;-21283.13844;;;
Management Fees;I/CO adv fees receive;2026;1/03/2026;Mar-26;4824.463939;-108529133.1;-22495.58385;;;
Management Fees;I/CO adv fees receive;2026;1/04/2026;Apr-26;4932.639076;-109614424.4;-22222.26738;;;
Management Fees;I/CO adv fees receive;2026;1/05/2026;May-26;4932.639076;-110710568.7;-22444.49005;;;
Management Fees;I/CO adv fees receive;2026;1/06/2026;Jun-26;4932.639076;-111817674.4;-22668.93495;;;
Management Fees;I/CO advisory fees pay;2025;1/07/2025;Jul-25;5511.924758;26551256.94;4817.057217;;;
Management Fees;I/CO advisory fees pay;2025;1/08/2025;Aug-25;5429.910456;0;0;;;
Management Fees;I/CO advisory fees pay;2025;1/09/2025;Sep-25;5271.941977;0;0;;;
Management Fees;I/CO advisory fees pay;2025;1/10/2025;Oct-25;5072.249224;47200255.37;9305.586788;;;
Management Fees;I/CO advisory fees pay;2025;1/11/2025;Nov-25;4956.255189;0;0;;;
Management Fees;I/CO advisory fees pay;2025;1/12/2025;Dec-25;5081.087795;0;0;;;
Management Fees;I/CO advisory fees pay;2026;1/01/2026;Jan-26;5035.526334;47200255.37;9373.45021;;;
Management Fees;I/CO advisory fees pay;2026;1/02/2026;Feb-26;5048.813055;0;0;;;
Management Fees;I/CO advisory fees pay;2026;1/03/2026;Mar-26;4824.463939;0;0;;;
Management Fees;I/CO advisory fees pay;2026;1/04/2026;Apr-26;4932.639076;0;0;;;
Management Fees;I/CO advisory fees pay;2026;1/05/2026;May-26;4932.639076;0;0;;;
Management Fees;I/CO advisory fees pay;2026;1/06/2026;Jun-26;4932.639076;0;0;;;
Performance Fees;Performance fees control a/c;2025;1/07/2025;Jul-25;5511.924758;0;0;;;
Performance Fees;Performance fees control a/c;2025;1/08/2025;Aug-25;5429.910456;0;0;;;
Performance Fees;Performance fees control a/c;2025;1/09/2025;Sep-25;5271.941977;0;0;;;
Performance Fees;Performance fees control a/c;2025;1/10/2025;Oct-25;5072.249224;0;0;;;
Performance Fees;Performance fees control a/c;2025;1/11/2025;Nov-25;4956.255189;0;0;;;
Performance Fees;Performance fees control a/c;2025;1/12/2025;Dec-25;5081.087795;0;0;;;
Performance Fees;Performance fees control a/c;2026;1/01/2026;Jan-26;5035.526334;0;0;;;
Performance Fees;Performance fees control a/c;2026;1/02/2026;Feb-26;5048.813055;0;0;;;
Performance Fees;Performance fees control a/c;2026;1/03/2026;Mar-26;4824.463939;0;0;;;
Performance Fees;Performance fees control a/c;2026;1/04/2026;Apr-26;4932.639076;0;0;;;
Performance Fees;Performance fees control a/c;2026;1/05/2026;May-26;4932.639076;0;0;;;
Performance Fees;Performance fees control a/c;2026;1/06/2026;Jun-26;4932.639076;0;0;;;
Staff Costs;Salaries;2025;1/07/2025;Jul-25;5511.924758;518145230.2;94004.40916;;;
Staff Costs;Salaries;2025;1/08/2025;Aug-25;5429.910456;518145230.2;95424.26793;;;
Staff Costs;Salaries;2025;1/09/2025;Sep-25;5271.941977;518145230.2;98283.56087;;;
Staff Costs;Salaries;2025;1/10/2025;Oct-25;5072.249224;518145230.2;102152.9517;;;
Staff Costs;Salaries;2025;1/11/2025;Nov-25;4956.255189;541038678.5;109162.7969;;;
Staff Costs;Salaries;2025;1/12/2025;Dec-25;5081.087795;541038678.5;106480.8758;;;
Staff Costs;Salaries;2026;1/01/2026;Jan-26;5035.526334;511506266.5;101579.5038;;;
Staff Costs;Salaries;2026;1/02/2026;Feb-26;5048.813055;511506266.5;101312.1819;;;
Staff Costs;Salaries;2026;1/03/2026;Mar-26;4824.463939;511506266.5;106023.4407;;;
Staff Costs;Salaries;2026;1/04/2026;Apr-26;4932.639076;511506266.5;103698.2959;;;
Staff Costs;Salaries;2026;1/05/2026;May-26;4932.639076;511506266.5;103698.2959;;;
Staff Costs;Salaries;2026;1/06/2026;Jun-26;4932.639076;511506266.5;103698.2959;;;
Staff Costs;Pension Costs;2025;1/07/2025;Jul-25;5511.924758;26481513.97;4804.404111;;;
Staff Costs;Pension Costs;2025;1/08/2025;Aug-25;5429.910456;26481513.97;4876.970657;;;
Staff Costs;Pension Costs;2025;1/09/2025;Sep-25;5271.941977;26481513.97;5023.104216;;;
Staff Costs;Pension Costs;2025;1/10/2025;Oct-25;5072.249224;26481513.97;5220.862146;;;
Staff Costs;Pension Costs;2025;1/11/2025;Nov-25;4956.255189;26952645.4;5438.106871;;;
Staff Costs;Pension Costs;2025;1/12/2025;Dec-25;5081.087795;26952645.4;5304.502989;;;
Staff Costs;Pension Costs;2026;1/01/2026;Jan-26;5035.526334;26677350.34;5297.827589;;;
Staff Costs;Pension Costs;2026;1/02/2026;Feb-26;5048.813055;26677350.34;5283.885549;;;
Staff Costs;Pension Costs;2026;1/03/2026;Mar-26;4824.463939;26677350.34;5529.598868;;;
Staff Costs;Pension Costs;2026;1/04/2026;Apr-26;4932.639076;26677350.34;5408.332117;;;
Staff Costs;Pension Costs;2026;1/05/2026;May-26;4932.639076;26677350.34;5408.332117;;;
Staff Costs;Pension Costs;2026;1/06/2026;Jun-26;4932.639076;26677350.34;5408.332117;;;
Staff Costs;Medical Costs;2025;1/07/2025;Jul-25;5511.924758;30095559;5460.081609;;;
Staff Costs;Medical Costs;2025;1/08/2025;Aug-25;5429.910456;30095559;5542.551621;;;
Staff Costs;Medical Costs;2025;1/09/2025;Sep-25;5271.941977;30095559;5708.628648;;;
Staff Costs;Medical Costs;2025;1/10/2025;Oct-25;5072.249224;30095559;5933.375445;;;
Staff Costs;Medical Costs;2025;1/11/2025;Nov-25;4956.255189;31295127.71;6314.268841;;;
Staff Costs;Medical Costs;2025;1/12/2025;Dec-25;5081.087795;31295127.71;6159.139336;;;
Staff Costs;Medical Costs;2026;1/01/2026;Jan-26;5035.526334;31295127.71;6214.867252;;;
Staff Costs;Medical Costs;2026;1/02/2026;Feb-26;5048.813055;31295127.71;6198.511882;;;
Staff Costs;Medical Costs;2026;1/03/2026;Mar-26;4824.463939;31295127.71;6486.757514;;;
Staff Costs;Medical Costs;2026;1/04/2026;Apr-26;4932.639076;31295127.71;6344.499815;;;
Staff Costs;Medical Costs;2026;1/05/2026;May-26;4932.639076;31295127.71;6344.499816;;;
Staff Costs;Medical Costs;2026;1/06/2026;Jun-26;4932.639076;31295127.71;6344.499816;;;
Staff Costs;Other Personnel Costs;2025;1/07/2025;Jul-25;5511.924758;97814002.33;17745.88853;;;
Staff Costs;Other Personnel Costs;2025;1/08/2025;Aug-25;5429.910456;97814002.33;18013.92548;;;
Staff Costs;Other Personnel Costs;2025;1/09/2025;Sep-25;5271.941977;97814002.33;18553.69478;;;
Staff Costs;Other Personnel Costs;2025;1/10/2025;Oct-25;5072.249224;97814002.33;19284.14753;;;
Staff Costs;Other Personnel Costs;2025;1/11/2025;Nov-25;4956.255189;101881592.9;20556.16368;;;
Staff Costs;Other Personnel Costs;2025;1/12/2025;Dec-25;5081.087795;140881592.9;27726.65984;;;
Staff Costs;Other Personnel Costs;2026;1/01/2026;Jan-26;5035.526334;99309471.22;19721.76584;;;
Staff Costs;Other Personnel Costs;2026;1/02/2026;Feb-26;5048.813055;99309471.22;19669.865;;;
Staff Costs;Other Personnel Costs;2026;1/03/2026;Mar-26;4824.463939;99309471.22;20584.56079;;;
Staff Costs;Other Personnel Costs;2026;1/04/2026;Apr-26;4932.639076;99309471.22;20133.13151;;;
Staff Costs;Other Personnel Costs;2026;1/05/2026;May-26;4932.639076;99309471.22;20133.13151;;;
Staff Costs;Other Personnel Costs;2026;1/06/2026;Jun-26;4932.639076;99309471.22;20133.13151;;;
Staff Costs;Staff training costs;2025;1/07/2025;Jul-25;5511.924758;4163535.967;755.3687958;;;
Staff Costs;Staff training costs;2025;1/08/2025;Aug-25;5429.910456;4163535.967;766.778016;;;
Staff Costs;Staff training costs;2025;1/09/2025;Sep-25;5271.941977;4163535.967;789.7537539;;;
Staff Costs;Staff training costs;2025;1/10/2025;Oct-25;5072.249224;4163535.967;820.8460946;;;
Staff Costs;Staff training costs;2025;1/11/2025;Nov-25;4956.255189;4163535.967;840.0568188;;;
Staff Costs;Staff training costs;2025;1/12/2025;Dec-25;5081.087795;4163535.967;819.4182298;;;
Staff Costs;Staff training costs;2026;1/01/2026;Jan-26;5035.526334;4163535.967;826.8323291;;;
Staff Costs;Staff training costs;2026;1/02/2026;Feb-26;5048.813055;4163535.967;824.6563938;;;
Staff Costs;Staff training costs;2026;1/03/2026;Mar-26;4824.463939;4163535.967;863.0048891;;;
Staff Costs;Staff training costs;2026;1/04/2026;Apr-26;4932.639076;4163535.967;844.0787786;;;
Staff Costs;Staff training costs;2026;1/05/2026;May-26;4932.639076;4163535.967;844.0787787;;;
Staff Costs;Staff training costs;2026;1/06/2026;Jun-26;4932.639076;4163535.967;844.0787787;;;
Staff Costs;I/Co Staff Recharges;2025;1/07/2025;Jul-25;5511.924758;-21973431.97;-3986.526111;;;
