Month_Number;Month_Date;Month_Label;Account;Description;Code;Actual_GBP;Actual_COP;Rate
1;1/07/2025;Jul-25;1090688;Management fees control A/c;CC758;-243593.0806;-1342666732;5511.924758
1;1/07/2025;Jul-25;1095689;Distribution Costs Control Account;CC758;1655.59264;9125502.062;5511.924758
1;1/07/2025;Jul-25;1096188;I/CO distribution fees receive;CC758;-6721.40768;-37047893.4;5511.924758
1;1/07/2025;Jul-25;1096189;I/CO advisory fees receive;CC758;-13734.82656;-75705330.56;5511.924758
1;1/07/2025;Jul-25;1096190;I/CO distribution fees pay;CC758;0;0;5511.924758
1;1/07/2025;Jul-25;1105688;Performance fees control a/c;CC758;0;0;5511.924758
1;1/07/2025;Jul-25;1125688;Other Income;CC758;-2967.58176;-16357087.37;5511.924758
1;1/07/2025;Jul-25;1130688;FX gains/losses;CC758;-4394.59904;-24222699.25;5511.924758
1;1/07/2025;Jul-25;1130691;Intercompany Unrealised FX;CC758;246.55488;1358991.947;5511.924758
1;1/07/2025;Jul-25;1135688;Interest Income;CC758;-8071.83104;-44491325.35;5511.924758
1;1/07/2025;Jul-25;1135695;HFS gains & losses;CC758;-16903.6608;-93171706.47;5511.924758
1;1/07/2025;Jul-25;1140688;Intercompany Dividend Received;CC758;0;0;5511.924758
1;1/07/2025;Jul-25;1190688;Salaries;CC758;48045.94496;264825633.6;5511.924758
1;1/07/2025;Jul-25;1190691;Pension Costs;CC758;2917.8864;16083170.29;5511.924758
1;1/07/2025;Jul-25;1190692;Medical Costs;CC758;2810.19232;15489568.62;5511.924758
1;1/07/2025;Jul-25;1190695;Permanent staff agency placement;CC758;0;0;5511.924758
1;1/07/2025;Jul-25;1190696;Other Personnel Costs;CC758;12407.21664;68387644.58;5511.924758
1;1/07/2025;Jul-25;1190699;Staff training costs;CC758;0;0;5511.924758
1;1/07/2025;Jul-25;1191188;I/Co Staff Recharges;CC758;-2100.1552;-11575897.44;5511.924758
1;1/07/2025;Jul-25;1191190;I/Co Other support costs;CC758;77.9584;429700.8351;5511.924758
1;1/07/2025;Jul-25;1195690;Bonus provision;CC758;40602.72736;223799178.2;5511.924758
1;1/07/2025;Jul-25;1200689;Travel - Air Fares;CC758;1269.5904;6997886.758;5511.924758
1;1/07/2025;Jul-25;1200690;Travel - Accomodation;CC758;613.81216;3383286.442;5511.924758
1;1/07/2025;Jul-25;1200691;Travel - Other;CC758;264.96704;1460478.388;5511.924758
1;1/07/2025;Jul-25;1200692;Cars & Taxi's;CC758;89.06976;490945.8153;5511.924758
1;1/07/2025;Jul-25;1205694;Telecommunications;CC758;410.65856;2263519.084;5511.924758
1;1/07/2025;Jul-25;1205695;IT support services;CC758;18.78656;103550.1052;5511.924758
1;1/07/2025;Jul-25;1205703;Software rental;CC758;1434.82976;7908673.678;5511.924758
1;1/07/2025;Jul-25;1205708;IT consumables;CC758;188.03616;1036441.166;5511.924758
1;1/07/2025;Jul-25;1205787;IT projects;CC758;664.36032;3661904.096;5511.924758
1;1/07/2025;Jul-25;1206188;I/Co IT & Comms Recharges;CC758;5667.8336;31240672.34;5511.924758
1;1/07/2025;Jul-25;1210688;Legal fees;CC758;1997.36576;11009329.78;5511.924758
1;1/07/2025;Jul-25;1210689;Professional fees;CC758;3142.39744;17320658.25;5511.924758
1;1/07/2025;Jul-25;1210690;Regulatory fees - FCA;CC758;541.93152;2987085.762;5511.924758
1;1/07/2025;Jul-25;1210691;External Audit fees;CC758;1650.01824;9094776.388;5511.924758
1;1/07/2025;Jul-25;1215688;Insurance;CC758;1380.02592;7606599.035;5511.924758
1;1/07/2025;Jul-25;1216188;I/Co Insurance Recharges;CC758;189.3008;1043411.766;5511.924758
1;1/07/2025;Jul-25;1220688;Commercial Rent;CC758;1131.96928;6239329.5;5511.924758
1;1/07/2025;Jul-25;1220690;Utilities - Electricity;CC758;205.62048;1133364.614;5511.924758
